created_at,user_id_str,username,name,fast_followers_count,favourites_count,followers_count,following_count,listed_count,media_count,normal_followers_count,statuses_count,url,location,image_url,account_url
Sat Sep 15 22:56:40 +0000 2018,1041098504054104064,rskapcy_,ska,0,113117,2073,2230,11,2119,2073,84078,-,exo.,https://pbs.twimg.com/profile_images/1962932151302897664/USvvhXmX_normal.jpg,https://x.com/rskapcy_
Sun Sep 16 01:39:18 +0000 2018,1041139431254577152,sentimeter29,Sentaaa ˖°𓇼🌊⋆🪼,0,60983,854,1057,1,3744,854,47789,https://t.co/UEC3aBGEmY,Jeno Haechan Jaemin ➡️,https://pbs.twimg.com/profile_images/1991418457632698374/e-xZ4Hd__normal.jpg,https://x.com/sentimeter29
Sun Sep 16 09:05:20 +0000 2018,1041251678408699904,americhanou,dana,0,66470,765,1122,2,4081,765,17902,-,she/her || med ,https://pbs.twimg.com/profile_images/1963239994086322176/j0gWurd__normal.jpg,https://x.com/americhanou
Sun Sep 16 09:21:07 +0000 2018,1041255648653062145,NataliusPigai2,NataliusPigai,0,469,207467,167,46,1122,207467,2337,-,Indonesia,https://pbs.twimg.com/profile_images/1853586891331043328/X1ph0uxx_normal.jpg,https://x.com/NataliusPigai2
Sun Sep 16 10:34:53 +0000 2018,1041274213913378816,eternalplum,nana🪽|ia,0,26338,2093,354,0,2572,2093,110603,-,she/her | ISTJ | ina/eng,https://pbs.twimg.com/profile_images/1988058451440984064/73YhfBhE_normal.jpg,https://x.com/eternalplum
Sun Sep 16 11:41:08 +0000 2018,1041290886682894336,drainblood13,yuckfou,0,11543,481,713,0,1436,481,25073,https://t.co/KcGk2Pd8wY,"Bandung, Indonesia",https://pbs.twimg.com/profile_images/1977236487109545984/iz4RZuY9_normal.jpg,https://x.com/drainblood13
Sun Sep 16 18:45:37 +0000 2018,1041397711537287168,dapadessuyo,dあぱ 🧡,0,34029,763,544,0,1929,763,27088,-,-,https://pbs.twimg.com/profile_images/1982041457876779008/T4bXHD9o_normal.jpg,https://x.com/dapadessuyo
Sun Sep 16 20:04:33 +0000 2018,1041417577627435008,zelikaptr,jeje,0,442,4575,1862,46,68,4575,42370,-,home,https://pbs.twimg.com/profile_images/1962566056188481536/If1VfmZQ_normal.jpg,https://x.com/zelikaptr
Sun Sep 16 21:01:41 +0000 2018,1041431952362954752,kalbar_news,Kalbarnews,0,3,1296,874,0,30,1296,15562,https://t.co/VhtsM8D9Kt,"West Borneo, Indonesia",https://pbs.twimg.com/profile_images/1740999464142446592/hiNzT9Mk_normal.jpg,https://x.com/kalbar_news
Sun Sep 16 23:32:07 +0000 2018,1041469813149687808,ammar_firdausi,edan,0,527,8,179,0,7,8,259,-,-,https://pbs.twimg.com/profile_images/1962925890415054848/GpOq0G0k_normal.jpg,https://x.com/ammar_firdausi
Mon Sep 17 01:54:16 +0000 2018,1041505586808991744,bpsmojokerto,BPS Kabupaten Mojokerto,0,103,159,18,0,1841,159,3711,-,-,https://pbs.twimg.com/profile_images/1427640771335888900/Io4tfKzq_normal.jpg,https://x.com/bpsmojokerto
Mon Sep 17 03:31:20 +0000 2018,1041530014649344001,FajarGultom5,Fajar Gultom,0,5964,45,54,0,193,45,2177,-,"Riau Islands, Indonesia",https://pbs.twimg.com/profile_images/1968841299378978818/yYArkUF-_normal.jpg,https://x.com/FajarGultom5
Mon Sep 17 03:59:26 +0000 2018,1041537086308835328,carxmls,Rahma🐣,0,3750,1208,1227,0,1983,1208,24192,-,-,https://pbs.twimg.com/profile_images/1990039657359503360/-YRIf3Lv_normal.jpg,https://x.com/carxmls
Mon Sep 17 04:58:17 +0000 2018,1041551894093524994,LebongPolres,Humas Polres Lebong,0,1610,105,38,0,4339,105,4674,-,"Jalan Raya Tanjung Agung,Tubei",https://pbs.twimg.com/profile_images/1041711265888952321/nuFcZU4J_normal.jpg,https://x.com/LebongPolres
Mon Sep 17 05:53:30 +0000 2018,1041565788056907776,i_kasna,i made kasna rota,0,8,14,10,1,5,14,2144,-,-,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/i_kasna
Mon Sep 17 09:19:06 +0000 2018,1041617531180539904,sehatminumsusu,DANCOW,0,6373,223,199,1,91,223,4293,https://t.co/Otth2qH8GJ,Kawasan Pegudangan 55 Kalianak,https://pbs.twimg.com/profile_images/1715959509838114816/Cb8lUt8A_normal.jpg,https://x.com/sehatminumsusu
Mon Sep 17 22:58:55 +0000 2018,1041823844242092032,hutansejuk,🥦,0,67032,152,555,1,378,152,8642,-,Jauh sebelum sempat semayam,https://pbs.twimg.com/profile_images/1968318388146749440/6PgYpPgP_normal.jpg,https://x.com/hutansejuk
Tue Sep 18 11:57:40 +0000 2018,1042019824937783296,rekalibrasi,jieee,0,61654,3843,2377,1,3118,3843,58414,-,Indonesia,https://pbs.twimg.com/profile_images/1967895992625504256/VBNtq95E_normal.jpg,https://x.com/rekalibrasi
Tue Sep 18 14:01:01 +0000 2018,1042050865551552515,suebatdahlu,ocean,0,624,1312,1028,2,780,1312,17160,-,"East Borneo, Indonesia",https://pbs.twimg.com/profile_images/1392542596711424001/4hROkoRo_normal.jpg,https://x.com/suebatdahlu
Tue Sep 18 15:01:55 +0000 2018,1042066189864730624,Agussus16397056,Agussusanto,0,40367,105,137,1,1388,105,4601,-,"Semawis, Indonesia",https://pbs.twimg.com/profile_images/1980616150925840384/21xuQO3x_normal.jpg,https://x.com/Agussus16397056
Tue Sep 18 22:31:17 +0000 2018,1042179277997826048,BasmallahP,ABR_Basmallah2910,0,2384,44,36,0,362,44,3036,-,"Lima Puluh Koto, Sumatera Bara",https://pbs.twimg.com/profile_images/1797779565575843840/eZZgygcs_normal.jpg,https://x.com/BasmallahP
Wed Sep 19 02:03:10 +0000 2018,1042232599005917189,Boif33,⭐️⭐️⭐️⭐️,0,3310,159,214,3,880,159,12298,-,"Bandung, Jawa Barat",https://pbs.twimg.com/profile_images/1763075193709502464/a7azV_Pw_normal.jpg,https://x.com/Boif33
Wed Sep 19 02:28:53 +0000 2018,1042239070108188672,miriptzuyu,shann 🍉,0,2378,73,159,1,411,73,17445,-,-,https://pbs.twimg.com/profile_images/1795850885253468160/zwlGFZPu_normal.jpg,https://x.com/miriptzuyu
Wed Sep 19 02:29:59 +0000 2018,1042239349272637443,sobatinchident,Rei #ElkannOUT,0,918,5,40,1,1763,5,10065,-,无也,https://pbs.twimg.com/profile_images/1979703883837423616/WCwFNloO_normal.jpg,https://x.com/sobatinchident
Wed Sep 19 13:12:38 +0000 2018,1042401077474222080,bevbeh75,Bevbe,0,5607,446,870,0,82,446,8328,-,-,https://pbs.twimg.com/profile_images/1554089378573873153/2fmm2lEz_normal.jpg,https://x.com/bevbeh75
Thu Sep 20 01:14:43 +0000 2018,1042582793845301248,itsmofahri,Mr. Inconspicuous,0,18260,1706,1779,2,1649,1706,33300,https://t.co/K0Retx5S8K,"Bandung, Jawa Barat",https://pbs.twimg.com/profile_images/1977993589398605824/xvXtpG8S_normal.jpg,https://x.com/itsmofahri
Thu Sep 20 17:07:20 +0000 2018,1042822530279473152,vita_AVP,(bukan) Nini Tulalit,0,143173,24948,9157,5,8411,24948,88688,-,"Banjarmasin, Indonesia",https://pbs.twimg.com/profile_images/1969633640654258178/fo3RA7Y__normal.jpg,https://x.com/vita_AVP
Fri Sep 21 07:38:30 +0000 2018,1043041765333250049,Just_Mugiyanto,Mugiyanto,0,14086,386,1172,4,619,386,7780,https://t.co/KH7int72j7,Jakarta,https://pbs.twimg.com/profile_images/1576141510302920705/5EVrXQcY_normal.jpg,https://x.com/Just_Mugiyanto
Fri Sep 21 16:32:49 +0000 2018,1043176230097367041,Booegisano,Senda,0,7269,145,289,0,1058,145,7904,-,-,https://pbs.twimg.com/profile_images/1988661113249230850/_jkWy71l_normal.jpg,https://x.com/Booegisano
Sat Sep 22 04:01:49 +0000 2018,1043349623153127425,basava2019,siapagerangan,0,31767,664,820,0,106,664,17617,-,Jakarta barat,https://pbs.twimg.com/profile_images/1059396740132945922/bOrpBX0K_normal.jpg,https://x.com/basava2019
Sat Sep 22 13:25:28 +0000 2018,1043491469183483904,IniBudi_08,꧋ꦆꦤꦶꦧꦸꦢꦶ꧇꧐꧘꧇,0,100950,2627,1773,0,3105,2627,52747,-,"Grogol Petamburan, Indonesia",https://pbs.twimg.com/profile_images/1940361540802146304/QXEPsYGJ_normal.jpg,https://x.com/IniBudi_08
Sat Sep 22 13:54:55 +0000 2018,1043498881055485953,LArgamakmur,Lapas_Argamakmur,0,43,254,178,0,2020,254,2279,-,"Arga Makmur, Indonesia",https://pbs.twimg.com/profile_images/1715209244537126912/nLXeWTPw_normal.jpg,https://x.com/LArgamakmur
Sat Sep 22 15:05:37 +0000 2018,1043516673079164928,Rachmanti3,Rachmanti,0,367,1225,2287,0,179,1225,561,-,Indonesia,https://pbs.twimg.com/profile_images/1043520636017029120/2MgoTCvu_normal.jpg,https://x.com/Rachmanti3
Sun Sep 23 05:14:01 +0000 2018,1043730179514753025,onyourdayz,𝓐,0,8583,2217,2261,0,559,2217,11746,-,-,https://pbs.twimg.com/profile_images/1693608970626478081/mirLSN8S_normal.jpg,https://x.com/onyourdayz
Sun Sep 23 10:01:30 +0000 2018,1043802528444346368,akunminim,what,0,44657,3,108,0,111,3,12572,-,-,https://pbs.twimg.com/profile_images/1620789152068378624/RKaXXYdR_normal.jpg,https://x.com/akunminim
Sun Sep 23 12:39:29 +0000 2018,1043842286377824256,medinangis,hourly medinangis ୧⍤⃝📦,0,99559,109,268,0,2498,109,45248,-,🏠,https://pbs.twimg.com/profile_images/1531279263231770626/9-OiHxef_normal.jpg,https://x.com/medinangis
Sun Sep 23 16:30:22 +0000 2018,1043900390758989824,pensee_ren,Renaldi,0,374,36,75,0,49,36,1621,https://t.co/235fBL9KEX,"Bogor, Jawa Barat",https://pbs.twimg.com/profile_images/1910924589045006336/hVqnGNAJ_normal.jpg,https://x.com/pensee_ren
Mon Sep 24 04:56:20 +0000 2018,1044088117945221120,Caramelowfat,Fatq🌼,0,60117,1998,2057,10,17147,1998,183423,-,-,https://pbs.twimg.com/profile_images/1983549635735252993/fE9xF-s2_normal.jpg,https://x.com/Caramelowfat
Mon Sep 24 13:57:19 +0000 2018,1044224262251401216,dilautanbiru,orca,0,6574,51,46,0,24,51,1606,-,0 mdpl,https://pbs.twimg.com/profile_images/1804044699843596290/0D4JiZ5v_normal.jpg,https://x.com/dilautanbiru
Mon Sep 24 16:56:19 +0000 2018,1044269307654365184,setengahbulann,pn,0,10657,17,20,0,306,17,4065,https://t.co/2XAbqFV4B1,Indonesia,https://pbs.twimg.com/profile_images/1965860322230808584/8af0xdjv_normal.jpg,https://x.com/setengahbulann
